regime,subtask,side,source_zipf_regime,inventory_source,n,mean_expected_logodds,expected_preferred_rate,min_expected_logodds,max_expected_logodds
head,causative,bad,head,freqblimp_curated,440,1.2166193176399578,0.7318181818181818,-3.8125,6.687499523162842
head,causative,good,head,freqblimp_curated,620,3.866834677996174,0.8661290322580645,-4.375,9.875
head,inchoative,bad,head,freqblimp_curated,60,5.817187492052714,1.0,3.25,8.59375
head,inchoative,bad,head,supplemental_v2_bad_verbs,260,5.655889412989983,1.0,2.1875,8.71875
head,inchoative,good,head,freqblimp_curated,620,-1.5768649201239309,0.21451612903225806,-7.500000476837158,5.4375
low,causative,bad,low_gap,supplemental_v2_bad_verbs,60,-1.0854166825612386,0.23333333333333334,-4.25,2.125
low,causative,bad,tail,freqblimp_curated,60,2.337500003973643,0.95,-0.8125,5.5625
low,causative,bad,tail,supplemental_v2_bad_verbs,260,1.077403842485868,0.7115384615384616,-6.125,5.375
low,causative,bad,xtail,supplemental_v2_bad_verbs,80,1.3648437678813934,0.8375,-1.375,3.500000238418579
low,causative,good,low_gap,freqblimp_curated,20,4.878124988079071,1.0,1.9375,6.875
low,causative,good,tail,freqblimp_curated,240,4.377864590783914,0.9375,-4.3125,9.5
low,causative,good,xtail,freqblimp_curated,20,3.3937500059604644,1.0,0.0625,7.125
low,inchoative,bad,low_gap,supplemental_v2_bad_verbs,40,5.139843744039536,1.0,2.375,7.375
low,inchoative,bad,tail,supplemental_v2_bad_verbs,280,4.508147321854319,1.0,0.9375,8.59375
low,inchoative,bad,xtail,supplemental_v2_bad_verbs,220,3.8170454420826654,0.9954545454545455,-0.0625,7.687500476837158
low,inchoative,good,low_gap,freqblimp_curated,20,-0.928125,0.3,-3.25,1.875
low,inchoative,good,tail,freqblimp_curated,240,-1.3257812534769375,0.22083333333333333,-6.4375,4.25
low,inchoative,good,xtail,freqblimp_curated,20,-1.096875,0.25,-4.625,2.25
