epoch,train_loss
1,0.6203796994001413
2,0.20732531312152122
3,0.09345201266652357
4,0.06669918505237532
5,0.06414130702770697
6,0.04800175778360599
7,0.03796252011426755
8,0.02867147040739074
9,0.033052103514059746
10,0.03494125373916696
11,0.046439843455495684
12,0.04367140686977542
13,0.03928857071467439
14,0.027201268279233613
15,0.02318612222266633
16,0.02844582704404722
17,0.024350386672716065
18,0.02176519716809592
19,0.02452039422917457
20,0.021472939636782578
21,0.01966511608329061
22,0.034441239180366554
23,0.045254244045036245
24,0.053154760738619994
25,0.0521176472296839
26,0.040552340914819934
27,0.03204264014064371
28,0.029522111256945153
29,0.021042224983751738
30,0.0272480549518814
