split,regime,subtask,direction,n,mean_suffix_effect,mean_signed_suffix_effect,sem_signed_suffix_effect,mean_normalized_suffix_effect,move_success_rate,mean_clean_minus_corrupt_suffix_lp,mean_signed_clean_minus_corrupt_suffix_lp,mean_signed_full_effect
eval,head,causative,bad_to_good,115,-3.891872853818147,3.891872853818147,0.11311688304182878,1.4289414697463318,1.0,-3.6197681758714757,3.6197681758714757,3.8918730030889095
eval,head,causative,good_to_bad,115,3.5458552319070566,3.5458552319070566,0.11099596648498314,1.6117636552289252,1.0,3.6197681758714757,3.6197681758714757,3.545855646548064
eval,head,inchoative,bad_to_good,62,-2.703479697627406,2.703479697627406,0.14100078464498367,12.249208543741974,1.0,-1.8837096152767059,1.8837096152767059,2.703479920664141
eval,head,inchoative,good_to_bad,62,2.892468346703437,2.892468346703437,0.16696993340691238,6.712695556558153,1.0,1.8837096152767059,1.8837096152767059,2.8924686677994265
eval,low,causative,bad_to_good,280,-2.56067042691367,2.56067042691367,0.08187906109996547,2.3949734588216476,0.9607142857142857,-3.6306143522262575,3.6306143522262575,2.5606703077043806
eval,low,causative,good_to_bad,280,3.0504015786307197,3.0504015786307197,0.08964121785052442,2.6350973013700374,0.9607142857142857,3.6306143522262575,3.6306143522262575,3.050401837485177
eval,low,inchoative,bad_to_good,280,-1.4498724460601806,1.4498724460601806,0.05379947369545808,0.8519043234005697,0.9642857142857143,-1.6275277376174926,1.6275277376174926,1.4498722076416015
eval,low,inchoative,good_to_bad,280,1.8484211308615548,1.8484211308615548,0.06702689259412618,1.007072875159543,0.9607142857142857,1.6275277376174926,1.6275277376174926,1.84842118535723
train,head,causative,bad_to_good,325,-3.9104269790649413,3.9104269790649413,0.05864594952314372,1.5679994508484398,1.0,-3.859241421039288,3.859241421039288,3.9104268939678484
train,head,causative,good_to_bad,325,3.75093769807082,3.75093769807082,0.0635293116697519,1.6959066227366297,1.0,3.859241421039288,3.859241421039288,3.750937769963191
train,head,inchoative,bad_to_good,258,-2.8573964760285016,2.8573964760285016,0.06795167550404922,6.513142237055655,1.0,-1.9648544224657754,1.9648544224657754,2.8573965323987855
train,head,inchoative,good_to_bad,258,3.055996592654738,3.055996592654738,0.07884137697873234,5.504500357743997,1.0,1.9648544224657754,1.9648544224657754,3.0559964734454486
