regime,subtask,good_source_zipf_regime,bad_source_zipf_regime,good_inventory_source,bad_inventory_source,n,mean_good_minus_bad_lp,accuracy,min_good_minus_bad_lp,max_good_minus_bad_lp
head,causative,head,head,freqblimp_curated,freqblimp_curated,440,4.653551552512429,0.8931818181818182,-5.997493743896484,14.383743286132812
head,inchoative,head,head,freqblimp_curated,freqblimp_curated,60,2.7310503641764323,0.7833333333333333,-2.8334617614746094,9.157032012939453
head,inchoative,head,head,freqblimp_curated,supplemental_v2_bad_verbs,260,3.0939095937288723,0.8153846153846154,-4.1715087890625,11.09532356262207
low,causative,low_gap,low_gap,freqblimp_curated,supplemental_v2_bad_verbs,3,7.2940826416015625,1.0,4.591865539550781,9.228591918945312
low,causative,low_gap,tail,freqblimp_curated,freqblimp_curated,3,4.4515838623046875,1.0,2.1369171142578125,6.4285888671875
low,causative,low_gap,tail,freqblimp_curated,supplemental_v2_bad_verbs,9,4.09907701280382,0.8888888888888888,-0.48386383056640625,7.541240692138672
low,causative,low_gap,xtail,freqblimp_curated,supplemental_v2_bad_verbs,5,5.520331573486328,1.0,2.079029083251953,8.684226989746094
low,causative,tail,low_gap,freqblimp_curated,supplemental_v2_bad_verbs,32,6.953329086303711,1.0,2.571704864501953,13.034523010253906
low,causative,tail,tail,freqblimp_curated,freqblimp_curated,36,5.593211597866482,1.0,0.3020362854003906,14.12984848022461
low,causative,tail,tail,freqblimp_curated,supplemental_v2_bad_verbs,132,5.597345467769738,1.0,0.4748039245605469,13.288055419921875
low,causative,tail,xtail,freqblimp_curated,supplemental_v2_bad_verbs,40,5.635989570617676,0.975,-1.16229248046875,12.496845245361328
low,causative,xtail,low_gap,freqblimp_curated,supplemental_v2_bad_verbs,2,7.838968276977539,1.0,6.4705810546875,9.207355499267578
low,causative,xtail,tail,freqblimp_curated,freqblimp_curated,2,0.9372730255126953,1.0,0.65838623046875,1.2161598205566406
low,causative,xtail,tail,freqblimp_curated,supplemental_v2_bad_verbs,11,2.480198946866122,1.0,0.41851806640625,7.878898620605469
low,causative,xtail,xtail,freqblimp_curated,supplemental_v2_bad_verbs,5,1.7794166564941407,0.8,-0.11409759521484375,3.7444114685058594
low,inchoative,low_gap,low_gap,freqblimp_curated,supplemental_v2_bad_verbs,2,1.7919597625732422,1.0,1.1312370300292969,2.4526824951171875
low,inchoative,low_gap,tail,freqblimp_curated,supplemental_v2_bad_verbs,12,5.248340288798015,0.9166666666666666,-1.3992881774902344,9.159862518310547
low,inchoative,low_gap,xtail,freqblimp_curated,supplemental_v2_bad_verbs,6,7.18778928120931,1.0,1.0595169067382812,10.407672882080078
low,inchoative,tail,low_gap,freqblimp_curated,supplemental_v2_bad_verbs,14,4.454507827758789,0.9285714285714286,-2.444194793701172,10.926029205322266
low,inchoative,tail,tail,freqblimp_curated,supplemental_v2_bad_verbs,124,5.6526068256747335,0.9435483870967742,-2.5249252319335938,13.58291244506836
low,inchoative,tail,xtail,freqblimp_curated,supplemental_v2_bad_verbs,102,5.918779840656355,0.9411764705882353,-2.5919570922851562,12.798095703125
low,inchoative,xtail,low_gap,freqblimp_curated,supplemental_v2_bad_verbs,3,1.589734395345052,0.6666666666666666,-6.315326690673828,7.409351348876953
low,inchoative,xtail,tail,freqblimp_curated,supplemental_v2_bad_verbs,11,3.7730671275745737,0.8181818181818182,-4.935096740722656,8.88873291015625
low,inchoative,xtail,xtail,freqblimp_curated,supplemental_v2_bad_verbs,6,6.018524805704753,0.8333333333333334,-1.458221435546875,11.1600341796875
